procurement_id,agency,contract_title,country,renewal_date,estimated_value,incumbent,prime_pathwy_priority,days_to_renewal,action_required
PROC-02524,City of Houston — Office of Business Opportunities,Custodial Services Contract — City of Houston,US,2026-08-30,"$25,000,000+",Booz Allen Hamilton,HIGH — Prepare in 30 Days,92,Monitor
PROC-02623,City of Vacaville — Administrative Services,AI & Process Automation Implementation Services — City of Vacaville,US,2026-08-30,"$5,000,000–$10,000,000",Parsons Corporation,HIGH — Prepare in 30 Days,92,Monitor
PROC-01137,Denver Public Schools — Procurement,Electrical Maintenance & Repair Services — Denver Public Schools,US,2026-08-31,"$150,000–$300,000",Robert Half International,HIGH — Prepare in 30 Days,93,Monitor
PROC-01704,City of Vancouver — Procurement Services,Environmental Compliance & Remediation Services — City of Vancouver,CA,2026-08-31,"$150,000–$300,000",Aramark Corporation,CRITICAL — Bid Now,93,Monitor
PROC-02032,NSW Government — eTendering,Public Works & Infrastructure Maintenance — NSW Government,AU,2026-08-31,"$10,000,000–$25,000,000",Adecco Group,MEDIUM — 60-Day Pipeline,93,Monitor
PROC-02673,California Department of Transportation (Caltrans),IT Infrastructure & Managed Services Contract — California Department of Transportation (Caltrans),US,2026-08-31,"$300,000–$500,000",Stericycle Inc.,MEDIUM — 60-Day Pipeline,93,Monitor
PROC-00758,Miami-Dade County — Internal Services Department,Fleet Maintenance & Vehicle Repair Services — Miami-Dade County,US,2026-09-01,"$25,000–$75,000",Regional Service Provider,CRITICAL — Bid Now,94,Monitor
PROC-00782,Sacramento County — Purchasing Division,Healthcare Facility Support Services — Sacramento County,US,2026-09-01,"$150,000–$300,000",Jan-Pro Franchising International,WATCH — 90+ Days,94,Monitor
PROC-02736,San Francisco Municipal Transportation Agency (SFMTA),Professional Consulting Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-09-01,"$10,000,000–$25,000,000",Unknown/No Incumbent,HIGH — Prepare in 30 Days,94,Monitor
PROC-00217,City of Seattle — Purchasing & Contracting,Professional Consulting Services — City of Seattle,US,2026-09-02,"$2,500,000–$5,000,000",Iron Mountain Inc.,WATCH — 90+ Days,95,Monitor
PROC-00545,Greater Vancouver Transit Authority (TransLink),Temporary Staffing & Workforce Solutions — Greater Vancouver Transit Authority (TransLink),CA,2026-09-02,"$75,000–$150,000",Leidos Holdings Inc.,HIGH — Prepare in 30 Days,95,Monitor
PROC-01591,US Army Corps of Engineers,Electrical Maintenance & Repair Services — US Army Corps of Engineers,US,2026-09-02,"$150,000–$300,000",ManTech International,WATCH — 90+ Days,95,Monitor
PROC-02715,Transport for London (TfL) — Procurement,Facilities Maintenance & Repair Services — Transport for London (TfL),UK,2026-09-02,"$10,000,000–$25,000,000",Adecco Group,CRITICAL — Bid Now,95,Monitor
PROC-00813,Sacramento County — Purchasing Division,Construction & Facility Renovation Services — Sacramento County,US,2026-09-03,"$25,000–$75,000",Jani-King International,WATCH — 90+ Days,96,Monitor
PROC-01680,City of Vallejo — Purchasing Division,Professional Consulting Services — City of Vallejo,US,2026-09-03,"$10,000,000–$25,000,000",Sodexo USA,CRITICAL — Bid Now,96,Monitor
PROC-02028,City of Houston — Office of Business Opportunities,Transportation & Logistics Services — City of Houston,US,2026-09-03,"$500,000–$1,000,000",Pitney Bowes Inc.,WATCH — 90+ Days,96,Monitor
PROC-00964,Province of British Columbia — BC Bid,Pest Control & Sanitation Services — Province of British Columbia,CA,2026-09-04,"$300,000–$500,000",Stericycle Inc.,CRITICAL — Bid Now,97,Monitor
PROC-02535,City of Benicia — Finance Department,Electrical Maintenance & Repair Services — City of Benicia,US,2026-09-04,"$25,000–$75,000",Allied Universal Security Services,WATCH — 90+ Days,97,Monitor
PROC-00273,City of Fairfield — Purchasing,Debris Removal & Waste Hauling Services — City of Fairfield,US,2026-09-05,"$25,000–$75,000",Coverall Holding Company,HIGH — Prepare in 30 Days,98,Monitor
PROC-00322,Miami-Dade County — Internal Services Department,Grounds Maintenance & Landscaping Services — Miami-Dade County,US,2026-09-05,"$500,000–$1,000,000",Sodexo USA,HIGH — Prepare in 30 Days,98,Monitor
PROC-00786,Crown Commercial Service (CCS),Electrical Maintenance & Repair Services — Crown Commercial Service (CCS),UK,2026-09-05,"$75,000–$150,000",ABM Industries Inc.,CRITICAL — Bid Now,98,Monitor
PROC-00920,City of Vancouver — Procurement Services,Construction & Facility Renovation Services — City of Vancouver,CA,2026-09-05,"$25,000–$75,000",Parsons Corporation,HIGH — Prepare in 30 Days,98,Monitor
PROC-00975,California Department of Corrections (CDCR),Construction & Facility Renovation Services — California Department of Corrections (CDCR),US,2026-09-05,"$25,000–$75,000",Pitney Bowes Inc.,CRITICAL — Bid Now,98,Monitor
PROC-01321,Province of British Columbia — BC Bid,Temporary Staffing & Workforce Solutions — Province of British Columbia,CA,2026-09-05,"$150,000–$300,000",Manpower Group,WATCH — 90+ Days,98,Monitor
PROC-01686,Highways England (National Highways),Debris Removal & Waste Hauling Services — Highways England (National Highways),UK,2026-09-05,"$300,000–$500,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,98,Monitor
PROC-02311,Los Angeles Unified School District (LAUSD),Electrical Maintenance & Repair Services — Los Angeles Unified School District (LAUSD),US,2026-09-05,"$25,000–$75,000",Coverall Holding Company,WATCH — 90+ Days,98,Monitor
PROC-00157,Sacramento County — Purchasing Division,Custodial Services Contract — Sacramento County,US,2026-09-06,"$25,000,000+",Iron Mountain Inc.,CRITICAL — Bid Now,99,Monitor
PROC-00332,City of Fairfield — Purchasing,AI & Process Automation Implementation Services — City of Fairfield,US,2026-09-06,"$2,500,000–$5,000,000",Jacobs Engineering Group,WATCH — 90+ Days,99,Monitor
PROC-00641,University of California System (UC),Environmental Compliance & Remediation Services — University of California System (UC),US,2026-09-06,"$150,000–$300,000",ServiceMaster Clean,CRITICAL — Bid Now,99,Monitor
PROC-01960,Alameda County — GSA Purchasing,Temporary Staffing & Workforce Solutions — Alameda County,US,2026-09-06,"$25,000–$75,000",Jan-Pro Franchising International,HIGH — Prepare in 30 Days,99,Monitor
PROC-01508,City of Melbourne — Procurement,Healthcare Facility Support Services — City of Melbourne,AU,2026-09-07,"$10,000,000–$25,000,000",Manpower Group,CRITICAL — Bid Now,100,Monitor
PROC-01592,Los Angeles Unified School District (LAUSD),Debris Removal & Waste Hauling Services — Los Angeles Unified School District (LAUSD),US,2026-09-07,"$10,000,000–$25,000,000",G4S Secure Solutions,HIGH — Prepare in 30 Days,100,Monitor
PROC-02725,City of Sydney — Procurement,Professional Consulting Services — City of Sydney,AU,2026-09-07,"$25,000–$75,000",Manpower Group,MEDIUM — 60-Day Pipeline,100,Monitor
PROC-02931,Bay Area Rapid Transit (BART),AI & Process Automation Implementation Services — Bay Area Rapid Transit (BART),US,2026-09-07,"$10,000,000–$25,000,000",Waste Management Inc.,CRITICAL — Bid Now,100,Monitor
PROC-02997,City of Chicago — Department of Procurement Services,Public Works & Infrastructure Maintenance — City of Chicago,US,2026-09-07,"$75,000–$150,000",Booz Allen Hamilton,CRITICAL — Bid Now,100,Monitor
PROC-02290,California Department of Education (CDE),Professional Consulting Services — California Department of Education (CDE),US,2026-09-08,"$2,500,000–$5,000,000",Cintas Corporation,HIGH — Prepare in 30 Days,101,Monitor
PROC-02566,San Francisco Municipal Transportation Agency (SFMTA),Professional Consulting Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-09-08,"$25,000,000+",Clean Harbors Inc.,MEDIUM — 60-Day Pipeline,101,Monitor
PROC-02319,AusTender — Australian Government Procurement,Professional Consulting Services — AusTender,AU,2026-09-09,"$150,000–$300,000",CACI International,MEDIUM — 60-Day Pipeline,102,Monitor
PROC-02628,Highways England (National Highways),Professional Consulting Services — Highways England (National Highways),UK,2026-09-09,"$25,000,000+",Local Independent Vendor,WATCH — 90+ Days,102,Monitor
PROC-02749,Highways England (National Highways),Transportation & Logistics Services — Highways England (National Highways),UK,2026-09-09,"$25,000–$75,000",Booz Allen Hamilton,WATCH — 90+ Days,102,Monitor
PROC-02925,City of Phoenix — Procurement Division,Records Management & Document Digitization Services — City of Phoenix,US,2026-09-09,"$500,000–$1,000,000",Jani-King International,MEDIUM — 60-Day Pipeline,102,Monitor
PROC-02209,City of Seattle — Purchasing & Contracting,Environmental Compliance & Remediation Services — City of Seattle,US,2026-09-10,"$2,500,000–$5,000,000",Kforce Inc.,HIGH — Prepare in 30 Days,103,Monitor
PROC-00368,Miami-Dade County — Internal Services Department,Healthcare Facility Support Services — Miami-Dade County,US,2026-09-11,"$75,000–$150,000",Local Independent Vendor,MEDIUM — 60-Day Pipeline,104,Monitor
PROC-01324,City of Seattle — Purchasing & Contracting,Transportation & Logistics Services — City of Seattle,US,2026-09-11,"$10,000,000–$25,000,000",Pitney Bowes Inc.,CRITICAL — Bid Now,104,Monitor
PROC-01775,Solano County — Purchasing Services,Facilities Maintenance & Repair Services — Solano County,US,2026-09-11,"$10,000,000–$25,000,000",Cintas Corporation,WATCH — 90+ Days,104,Monitor
PROC-02018,Crown Commercial Service (CCS),IT Infrastructure & Managed Services Contract — Crown Commercial Service (CCS),UK,2026-09-11,"$500,000–$1,000,000",Securitas Security Services USA,HIGH — Prepare in 30 Days,104,Monitor
PROC-02190,City of Benicia — Finance Department,Public Works & Infrastructure Maintenance — City of Benicia,US,2026-09-11,"$10,000,000–$25,000,000",Stericycle Inc.,CRITICAL — Bid Now,104,Monitor
PROC-00075,Los Angeles Unified School District (LAUSD),Electrical Maintenance & Repair Services — Los Angeles Unified School District (LAUSD),US,2026-09-12,"$300,000–$500,000",Waste Management Inc.,MEDIUM — 60-Day Pipeline,105,Monitor
PROC-00625,City of Vancouver — Procurement Services,Transportation & Logistics Services — City of Vancouver,CA,2026-09-12,"$150,000–$300,000",SAIC (Science Applications International Corp.),WATCH — 90+ Days,105,Monitor
PROC-01573,Birmingham City Council — Procurement,Environmental Compliance & Remediation Services — Birmingham City Council,UK,2026-09-12,"$1,000,000–$2,500,000",Waste Management Inc.,WATCH — 90+ Days,105,Monitor
PROC-01923,Department of Homeland Security (DHS),Professional Consulting Services — Department of Homeland Security (DHS),US,2026-09-12,"$500,000–$1,000,000",Fluor Corporation,CRITICAL — Bid Now,105,Monitor
PROC-02674,San Francisco Municipal Transportation Agency (SFMTA),Pest Control & Sanitation Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-09-12,"$10,000,000–$25,000,000",Xerox Corporation,MEDIUM — 60-Day Pipeline,105,Monitor
PROC-02739,US Army Corps of Engineers,Uniformed Security Guard Services — US Army Corps of Engineers,US,2026-09-12,"$300,000–$500,000",ManTech International,MEDIUM — 60-Day Pipeline,105,Monitor
PROC-02859,Public Services and Procurement Canada (PSPC),Food Services & Catering Contract — Public Services and Procurement Canada (PSPC),CA,2026-09-12,"$300,000–$500,000",Jacobs Engineering Group,MEDIUM — 60-Day Pipeline,105,Monitor
PROC-02937,City of Atlanta — Department of Procurement,Facilities Maintenance & Repair Services — City of Atlanta,US,2026-09-12,"$1,000,000–$2,500,000",Adecco Group,CRITICAL — Bid Now,105,Monitor
PROC-01041,NASA — Procurement Division,Grounds Maintenance & Landscaping Services — NASA,US,2026-09-13,"$25,000,000+",Manpower Group,MEDIUM — 60-Day Pipeline,106,Monitor
PROC-01059,Department of Energy (DOE),Pest Control & Sanitation Services — Department of Energy (DOE),US,2026-09-13,"$300,000–$500,000",Robert Half International,WATCH — 90+ Days,106,Monitor
PROC-01199,California Department of General Services (DGS),IT Infrastructure & Managed Services Contract — California Department of General Services (DGS),US,2026-09-13,"$2,500,000–$5,000,000",Xerox Corporation,MEDIUM — 60-Day Pipeline,106,Monitor
PROC-01600,City of Melbourne — Procurement,Records Management & Document Digitization Services — City of Melbourne,AU,2026-09-13,"$500,000–$1,000,000",Manpower Group,CRITICAL — Bid Now,106,Monitor
PROC-01696,Bay Area Rapid Transit (BART),Food Services & Catering Contract — Bay Area Rapid Transit (BART),US,2026-09-13,"$75,000–$150,000",Kforce Inc.,MEDIUM — 60-Day Pipeline,106,Monitor
PROC-02979,City of Melbourne — Procurement,Construction & Facility Renovation Services — City of Melbourne,AU,2026-09-13,"$300,000–$500,000",Booz Allen Hamilton,MEDIUM — 60-Day Pipeline,106,Monitor
PROC-01429,Contra Costa County — Purchasing,HVAC Maintenance & Mechanical Services — Contra Costa County,US,2026-09-14,"$150,000–$300,000",Adecco Group,WATCH — 90+ Days,107,Monitor
PROC-02236,City of Benicia — Finance Department,Food Services & Catering Contract — City of Benicia,US,2026-09-14,"$500,000–$1,000,000",Unknown/No Incumbent,CRITICAL — Bid Now,107,Monitor
PROC-02385,NASA — Procurement Division,Professional Consulting Services — NASA,US,2026-09-14,"$25,000,000+",Cintas Corporation,CRITICAL — Bid Now,107,Monitor
PROC-02962,Department of Homeland Security (DHS),Pest Control & Sanitation Services — Department of Homeland Security (DHS),US,2026-09-14,"$1,000,000–$2,500,000",Kforce Inc.,MEDIUM — 60-Day Pipeline,107,Monitor
PROC-00742,Port of Oakland,AI & Process Automation Implementation Services — Port of Oakland,US,2026-09-15,"$10,000,000–$25,000,000",Xerox Corporation,WATCH — 90+ Days,108,Monitor
PROC-01460,US Postal Service (USPS) — Procurement,Environmental Compliance & Remediation Services — US Postal Service (USPS),US,2026-09-15,"$5,000,000–$10,000,000",ManTech International,HIGH — Prepare in 30 Days,108,Monitor
PROC-01913,City of Benicia — Finance Department,Transportation & Logistics Services — City of Benicia,US,2026-09-15,"$25,000,000+",Jacobs Engineering Group,HIGH — Prepare in 30 Days,108,Monitor
PROC-02077,NHS Supply Chain,Construction & Facility Renovation Services — NHS Supply Chain,UK,2026-09-15,"$300,000–$500,000",ManTech International,HIGH — Prepare in 30 Days,108,Monitor
PROC-02245,Solano County — Purchasing Services,Pest Control & Sanitation Services — Solano County,US,2026-09-15,"$25,000,000+",Aramark Corporation,WATCH — 90+ Days,108,Monitor
PROC-00228,City of Phoenix — Procurement Division,Professional Consulting Services — City of Phoenix,US,2026-09-16,"$25,000,000+",Manpower Group,MEDIUM — 60-Day Pipeline,109,Monitor
PROC-00417,Denver Public Schools — Procurement,AI & Process Automation Implementation Services — Denver Public Schools,US,2026-09-16,"$10,000,000–$25,000,000",Booz Allen Hamilton,MEDIUM — 60-Day Pipeline,109,Monitor
PROC-00797,Port of Los Angeles,Electrical Maintenance & Repair Services — Port of Los Angeles,US,2026-09-16,"$25,000–$75,000",Booz Allen Hamilton,HIGH — Prepare in 30 Days,109,Monitor
PROC-00973,University of California System (UC),Environmental Compliance & Remediation Services — University of California System (UC),US,2026-09-16,"$25,000–$75,000",Stericycle Inc.,HIGH — Prepare in 30 Days,109,Monitor
PROC-02395,Contra Costa County — Purchasing,Electrical Maintenance & Repair Services — Contra Costa County,US,2026-09-16,"$75,000–$150,000",Xerox Corporation,HIGH — Prepare in 30 Days,109,Monitor
PROC-00064,Solano County — Purchasing Services,Professional Consulting Services — Solano County,US,2026-09-17,"$75,000–$150,000",Manpower Group,CRITICAL — Bid Now,110,Monitor
PROC-00687,Social Security Administration (SSA),Electrical Maintenance & Repair Services — Social Security Administration (SSA),US,2026-09-17,"$500,000–$1,000,000",Kforce Inc.,WATCH — 90+ Days,110,Monitor
PROC-02115,Department of Energy (DOE),Temporary Staffing & Workforce Solutions — Department of Energy (DOE),US,2026-09-17,"$150,000–$300,000",Xerox Corporation,HIGH — Prepare in 30 Days,110,Monitor
PROC-02242,City of Phoenix — Procurement Division,IT Infrastructure & Managed Services Contract — City of Phoenix,US,2026-09-17,"$150,000–$300,000",Republic Services Inc.,CRITICAL — Bid Now,110,Monitor
PROC-01446,Highways England (National Highways),Food Services & Catering Contract — Highways England (National Highways),UK,2026-09-18,"$10,000,000–$25,000,000",Coverall Holding Company,CRITICAL — Bid Now,111,Monitor
PROC-02707,Birmingham City Council — Procurement,Debris Removal & Waste Hauling Services — Birmingham City Council,UK,2026-09-18,"$25,000,000+",ServiceMaster Clean,CRITICAL — Bid Now,111,Monitor
PROC-00018,Bay Area Rapid Transit (BART),Debris Removal & Waste Hauling Services — Bay Area Rapid Transit (BART),US,2026-09-19,"$25,000–$75,000",Sodexo USA,MEDIUM — 60-Day Pipeline,112,Monitor
PROC-00132,Department of Homeland Security (DHS),Electrical Maintenance & Repair Services — Department of Homeland Security (DHS),US,2026-09-19,"$1,000,000–$2,500,000",Allied Universal Security Services,HIGH — Prepare in 30 Days,112,Monitor
PROC-01602,City of Phoenix — Procurement Division,Electrical Maintenance & Repair Services — City of Phoenix,US,2026-09-19,"$75,000–$150,000",SAIC (Science Applications International Corp.),CRITICAL — Bid Now,112,Monitor
PROC-02368,City of Seattle — Purchasing & Contracting,IT Infrastructure & Managed Services Contract — City of Seattle,US,2026-09-19,"$5,000,000–$10,000,000",ServiceMaster Clean,WATCH — 90+ Days,112,Monitor
PROC-00139,Department of Homeland Security (DHS),IT Infrastructure & Managed Services Contract — Department of Homeland Security (DHS),US,2026-09-20,"$2,500,000–$5,000,000",Recall Holdings,CRITICAL — Bid Now,113,Monitor
PROC-00502,San Francisco Municipal Transportation Agency (SFMTA),Professional Consulting Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-09-20,"$1,000,000–$2,500,000",Jacobs Engineering Group,HIGH — Prepare in 30 Days,113,Monitor
PROC-01089,Bay Area Rapid Transit (BART),HVAC Maintenance & Mechanical Services — Bay Area Rapid Transit (BART),US,2026-09-20,"$300,000–$500,000",Coverall Holding Company,CRITICAL — Bid Now,113,Monitor
PROC-01352,Los Angeles Unified School District (LAUSD),Transportation & Logistics Services — Los Angeles Unified School District (LAUSD),US,2026-09-20,"$500,000–$1,000,000",Robert Half International,MEDIUM — 60-Day Pipeline,113,Monitor
PROC-01470,Alameda County — GSA Purchasing,Pest Control & Sanitation Services — Alameda County,US,2026-09-20,"$150,000–$300,000",Unknown/No Incumbent,CRITICAL — Bid Now,113,Monitor
PROC-01484,AusTender — Australian Government Procurement,AI & Process Automation Implementation Services — AusTender,AU,2026-09-20,"$150,000–$300,000",Robert Half International,WATCH — 90+ Days,113,Monitor
PROC-01632,City of Phoenix — Procurement Division,IT Infrastructure & Managed Services Contract — City of Phoenix,US,2026-09-20,"$75,000–$150,000",Clean Harbors Inc.,WATCH — 90+ Days,113,Monitor
PROC-02052,US Army Corps of Engineers,Electrical Maintenance & Repair Services — US Army Corps of Engineers,US,2026-09-20,"$500,000–$1,000,000",Recall Holdings,CRITICAL — Bid Now,113,Monitor
PROC-02635,Social Security Administration (SSA),Fleet Maintenance & Vehicle Repair Services — Social Security Administration (SSA),US,2026-09-20,"$5,000,000–$10,000,000",Securitas Security Services USA,HIGH — Prepare in 30 Days,113,Monitor
PROC-02967,Department of Veterans Affairs (VA),AI & Process Automation Implementation Services — Department of Veterans Affairs (VA),US,2026-09-20,"$75,000–$150,000",Cintas Corporation,HIGH — Prepare in 30 Days,113,Monitor
PROC-00327,London Borough of Southwark — Procurement,Custodial Services Contract — London Borough of Southwark,UK,2026-09-21,"$500,000–$1,000,000",Sodexo USA,CRITICAL — Bid Now,114,Monitor
PROC-00414,City of Chicago — Department of Procurement Services,HVAC Maintenance & Mechanical Services — City of Chicago,US,2026-09-21,"$300,000–$500,000",Adecco Group,CRITICAL — Bid Now,114,Monitor
PROC-00542,Greater Vancouver Transit Authority (TransLink),Construction & Facility Renovation Services — Greater Vancouver Transit Authority (TransLink),CA,2026-09-21,"$25,000–$75,000",ServiceMaster Clean,CRITICAL — Bid Now,114,Monitor
PROC-01133,Port of Oakland,Debris Removal & Waste Hauling Services — Port of Oakland,US,2026-09-21,"$300,000–$500,000",Republic Services Inc.,MEDIUM — 60-Day Pipeline,114,Monitor
PROC-01915,Los Angeles Unified School District (LAUSD),HVAC Maintenance & Mechanical Services — Los Angeles Unified School District (LAUSD),US,2026-09-21,"$300,000–$500,000",Securitas Security Services USA,CRITICAL — Bid Now,114,Monitor
PROC-02166,City of Atlanta — Department of Procurement,Grounds Maintenance & Landscaping Services — City of Atlanta,US,2026-09-21,"$10,000,000–$25,000,000",Booz Allen Hamilton,MEDIUM — 60-Day Pipeline,114,Monitor
PROC-00049,Transport for NSW,Custodial Services Contract — Transport for NSW,AU,2026-09-22,"$150,000–$300,000",Manpower Group,MEDIUM — 60-Day Pipeline,115,Monitor
PROC-00243,Department of Energy (DOE),Professional Consulting Services — Department of Energy (DOE),US,2026-09-22,"$500,000–$1,000,000",Coverall Holding Company,WATCH — 90+ Days,115,Monitor
PROC-01582,University of California System (UC),Construction & Facility Renovation Services — University of California System (UC),US,2026-09-22,"$1,000,000–$2,500,000",Recall Holdings,HIGH — Prepare in 30 Days,115,Monitor
PROC-02132,Port of Los Angeles,Fleet Maintenance & Vehicle Repair Services — Port of Los Angeles,US,2026-09-22,"$2,500,000–$5,000,000",Parsons Corporation,MEDIUM — 60-Day Pipeline,115,Monitor
PROC-02358,City of Seattle — Purchasing & Contracting,IT Infrastructure & Managed Services Contract — City of Seattle,US,2026-09-22,"$5,000,000–$10,000,000",SAIC (Science Applications International Corp.),WATCH — 90+ Days,115,Monitor
PROC-02450,Ministry of Defence (MOD) — Defence Equipment & Support,Professional Consulting Services — Ministry of Defence (MOD),UK,2026-09-22,"$5,000,000–$10,000,000",Coverall Holding Company,HIGH — Prepare in 30 Days,115,Monitor
PROC-02814,Department of Transportation (DOT),Grounds Maintenance & Landscaping Services — Department of Transportation (DOT),US,2026-09-22,"$150,000–$300,000",Republic Services Inc.,CRITICAL — Bid Now,115,Monitor
PROC-00161,City of Toronto — Purchasing and Materials Management,Custodial Services Contract — City of Toronto,CA,2026-09-23,"$300,000–$500,000",Recall Holdings,WATCH — 90+ Days,116,Monitor
PROC-00397,Province of British Columbia — BC Bid,Healthcare Facility Support Services — Province of British Columbia,CA,2026-09-23,"$5,000,000–$10,000,000",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,116,Monitor
PROC-01057,City of Calgary — Purchasing,Environmental Compliance & Remediation Services — City of Calgary,CA,2026-09-23,"$500,000–$1,000,000",Clean Harbors Inc.,CRITICAL — Bid Now,116,Monitor
PROC-02641,Transport for London (TfL) — Procurement,IT Infrastructure & Managed Services Contract — Transport for London (TfL),UK,2026-09-23,"$300,000–$500,000",ManTech International,WATCH — 90+ Days,116,Monitor
PROC-00059,City of Seattle — Purchasing & Contracting,Fleet Maintenance & Vehicle Repair Services — City of Seattle,US,2026-09-24,"$25,000,000+",Allied Universal Security Services,HIGH — Prepare in 30 Days,117,Monitor
PROC-00889,Highways England (National Highways),Temporary Staffing & Workforce Solutions — Highways England (National Highways),UK,2026-09-24,"$25,000–$75,000",Cintas Corporation,HIGH — Prepare in 30 Days,117,Monitor
PROC-02093,US Army Corps of Engineers,Construction & Facility Renovation Services — US Army Corps of Engineers,US,2026-09-24,"$25,000,000+",Coverall Holding Company,WATCH — 90+ Days,117,Monitor
PROC-03000,Contra Costa County — Purchasing,Transportation & Logistics Services — Contra Costa County,US,2026-09-24,"$1,000,000–$2,500,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,117,Monitor
PROC-00666,Port of Oakland,Debris Removal & Waste Hauling Services — Port of Oakland,US,2026-09-25,"$25,000,000+",Cintas Corporation,WATCH — 90+ Days,118,Monitor
PROC-00833,Department of Defense (DoD) — DIBBS,Healthcare Facility Support Services — Department of Defense (DoD),US,2026-09-25,"$2,500,000–$5,000,000",Cintas Corporation,MEDIUM — 60-Day Pipeline,118,Monitor
PROC-02080,Transport for NSW,Records Management & Document Digitization Services — Transport for NSW,AU,2026-09-25,"$75,000–$150,000",Unknown/No Incumbent,WATCH — 90+ Days,118,Monitor
PROC-02198,California Department of Corrections (CDCR),Debris Removal & Waste Hauling Services — California Department of Corrections (CDCR),US,2026-09-25,"$500,000–$1,000,000",Recall Holdings,HIGH — Prepare in 30 Days,118,Monitor
