content_id,filename,filepath,content_type,platform,priority,funnel_stage,tag_1,tag_2,word_count_estimate,status,publish_date,repurpose_to
PP-0046,linkedin_authority_046.md,Content_Archive/LinkedIn_Authority/linkedin_authority_046.md,Authority Narrative,LinkedIn,High,Awareness,financial-operations,client-management,800,Draft,,
PP-0047,linkedin_authority_047.md,Content_Archive/LinkedIn_Authority/linkedin_authority_047.md,Authority Narrative,LinkedIn,High,Authority,client-management,SOP-architecture,800,Draft,,
PP-0048,linkedin_authority_048.md,Content_Archive/LinkedIn_Authority/linkedin_authority_048.md,Authority Narrative,LinkedIn,High,Consideration,SOP-architecture,CRM-workflows,800,Draft,,
PP-0049,linkedin_authority_049.md,Content_Archive/LinkedIn_Authority/linkedin_authority_049.md,Authority Narrative,LinkedIn,High,Conversion,CRM-workflows,lead-generation,800,Draft,,
PP-0050,linkedin_authority_050.md,Content_Archive/LinkedIn_Authority/linkedin_authority_050.md,Authority Narrative,LinkedIn,High,Retention,lead-generation,revenue-optimization,800,Draft,,
PP-0051,linkedin_authority_051.md,Content_Archive/LinkedIn_Authority/linkedin_authority_051.md,Authority Narrative,LinkedIn,High,Awareness,revenue-optimization,facility-management,800,Draft,,
PP-0052,linkedin_authority_052.md,Content_Archive/LinkedIn_Authority/linkedin_authority_052.md,Authority Narrative,LinkedIn,High,Authority,facility-management,property-management,800,Draft,,
PP-0053,linkedin_authority_053.md,Content_Archive/LinkedIn_Authority/linkedin_authority_053.md,Authority Narrative,LinkedIn,High,Consideration,property-management,industrial-services,800,Draft,,
PP-0054,linkedin_authority_054.md,Content_Archive/LinkedIn_Authority/linkedin_authority_054.md,Authority Narrative,LinkedIn,High,Conversion,industrial-services,workforce-deployment,800,Draft,,
PP-0055,linkedin_authority_055.md,Content_Archive/LinkedIn_Authority/linkedin_authority_055.md,Authority Narrative,LinkedIn,High,Retention,workforce-deployment,inspection-systems,800,Draft,,
PP-0056,linkedin_authority_056.md,Content_Archive/LinkedIn_Authority/linkedin_authority_056.md,Authority Narrative,LinkedIn,High,Awareness,inspection-systems,documentation-protocols,800,Draft,,
PP-0057,linkedin_authority_057.md,Content_Archive/LinkedIn_Authority/linkedin_authority_057.md,Authority Narrative,LinkedIn,High,Authority,documentation-protocols,KPI-frameworks,800,Draft,,
PP-0058,linkedin_authority_058.md,Content_Archive/LinkedIn_Authority/linkedin_authority_058.md,Authority Narrative,LinkedIn,High,Consideration,KPI-frameworks,accountability-systems,800,Draft,,
PP-0059,linkedin_authority_059.md,Content_Archive/LinkedIn_Authority/linkedin_authority_059.md,Authority Narrative,LinkedIn,High,Conversion,accountability-systems,AI-implementation,800,Draft,,
PP-0060,linkedin_authority_060.md,Content_Archive/LinkedIn_Authority/linkedin_authority_060.md,Authority Narrative,LinkedIn,High,Retention,AI-implementation,systems-thinking,800,Draft,,
PP-0061,linkedin_authority_061.md,Content_Archive/LinkedIn_Authority/linkedin_authority_061.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0062,linkedin_authority_062.md,Content_Archive/LinkedIn_Authority/linkedin_authority_062.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
PP-0063,linkedin_authority_063.md,Content_Archive/LinkedIn_Authority/linkedin_authority_063.md,Authority Narrative,LinkedIn,High,Consideration,AI-automation,contractor-management,800,Draft,,
PP-0064,linkedin_authority_064.md,Content_Archive/LinkedIn_Authority/linkedin_authority_064.md,Authority Narrative,LinkedIn,High,Conversion,contractor-management,compliance,800,Draft,,
PP-0065,linkedin_authority_065.md,Content_Archive/LinkedIn_Authority/linkedin_authority_065.md,Authority Narrative,LinkedIn,High,Retention,compliance,field-operations,800,Draft,,
PP-0066,linkedin_authority_066.md,Content_Archive/LinkedIn_Authority/linkedin_authority_066.md,Authority Narrative,LinkedIn,High,Awareness,field-operations,logistics,800,Draft,,
PP-0067,linkedin_authority_067.md,Content_Archive/LinkedIn_Authority/linkedin_authority_067.md,Authority Narrative,LinkedIn,High,Authority,logistics,leadership-framework,800,Draft,,
PP-0068,linkedin_authority_068.md,Content_Archive/LinkedIn_Authority/linkedin_authority_068.md,Authority Narrative,LinkedIn,High,Consideration,leadership-framework,execution-philosophy,800,Draft,,
PP-0069,linkedin_authority_069.md,Content_Archive/LinkedIn_Authority/linkedin_authority_069.md,Authority Narrative,LinkedIn,High,Conversion,execution-philosophy,business-process-audit,800,Draft,,
PP-0070,linkedin_authority_070.md,Content_Archive/LinkedIn_Authority/linkedin_authority_070.md,Authority Narrative,LinkedIn,High,Retention,business-process-audit,local-market-solano,800,Draft,,
PP-0071,linkedin_authority_071.md,Content_Archive/LinkedIn_Authority/linkedin_authority_071.md,Authority Narrative,LinkedIn,High,Awareness,local-market-solano,consulting-conversion,800,Draft,,
PP-0072,linkedin_authority_072.md,Content_Archive/LinkedIn_Authority/linkedin_authority_072.md,Authority Narrative,LinkedIn,High,Authority,consulting-conversion,authority-positioning,800,Draft,,
PP-0073,linkedin_authority_073.md,Content_Archive/LinkedIn_Authority/linkedin_authority_073.md,Authority Narrative,LinkedIn,High,Consideration,authority-positioning,NEPQ-persuasion,800,Draft,,
PP-0074,linkedin_authority_074.md,Content_Archive/LinkedIn_Authority/linkedin_authority_074.md,Authority Narrative,LinkedIn,High,Conversion,NEPQ-persuasion,sovereign-systems,800,Draft,,
PP-0075,linkedin_authority_075.md,Content_Archive/LinkedIn_Authority/linkedin_authority_075.md,Authority Narrative,LinkedIn,High,Retention,sovereign-systems,financial-operations,800,Draft,,
PP-0076,linkedin_authority_076.md,Content_Archive/LinkedIn_Authority/linkedin_authority_076.md,Authority Narrative,LinkedIn,High,Awareness,financial-operations,client-management,800,Draft,,
PP-0077,linkedin_authority_077.md,Content_Archive/LinkedIn_Authority/linkedin_authority_077.md,Authority Narrative,LinkedIn,High,Authority,client-management,SOP-architecture,800,Draft,,
PP-0078,linkedin_authority_078.md,Content_Archive/LinkedIn_Authority/linkedin_authority_078.md,Authority Narrative,LinkedIn,High,Consideration,SOP-architecture,CRM-workflows,800,Draft,,
PP-0079,linkedin_authority_079.md,Content_Archive/LinkedIn_Authority/linkedin_authority_079.md,Authority Narrative,LinkedIn,High,Conversion,CRM-workflows,lead-generation,800,Draft,,
PP-0080,linkedin_authority_080.md,Content_Archive/LinkedIn_Authority/linkedin_authority_080.md,Authority Narrative,LinkedIn,High,Retention,lead-generation,revenue-optimization,800,Draft,,
PP-0081,linkedin_authority_081.md,Content_Archive/LinkedIn_Authority/linkedin_authority_081.md,Authority Narrative,LinkedIn,High,Awareness,revenue-optimization,facility-management,800,Draft,,
PP-0082,linkedin_authority_082.md,Content_Archive/LinkedIn_Authority/linkedin_authority_082.md,Authority Narrative,LinkedIn,High,Authority,facility-management,property-management,800,Draft,,
PP-0083,linkedin_authority_083.md,Content_Archive/LinkedIn_Authority/linkedin_authority_083.md,Authority Narrative,LinkedIn,High,Consideration,property-management,industrial-services,800,Draft,,
PP-0084,linkedin_authority_084.md,Content_Archive/LinkedIn_Authority/linkedin_authority_084.md,Authority Narrative,LinkedIn,High,Conversion,industrial-services,workforce-deployment,800,Draft,,
PP-0085,linkedin_authority_085.md,Content_Archive/LinkedIn_Authority/linkedin_authority_085.md,Authority Narrative,LinkedIn,High,Retention,workforce-deployment,inspection-systems,800,Draft,,
PP-0086,linkedin_authority_086.md,Content_Archive/LinkedIn_Authority/linkedin_authority_086.md,Authority Narrative,LinkedIn,High,Awareness,inspection-systems,documentation-protocols,800,Draft,,
PP-0087,linkedin_authority_087.md,Content_Archive/LinkedIn_Authority/linkedin_authority_087.md,Authority Narrative,LinkedIn,High,Authority,documentation-protocols,KPI-frameworks,800,Draft,,
PP-0088,linkedin_authority_088.md,Content_Archive/LinkedIn_Authority/linkedin_authority_088.md,Authority Narrative,LinkedIn,High,Consideration,KPI-frameworks,accountability-systems,800,Draft,,
PP-0089,linkedin_authority_089.md,Content_Archive/LinkedIn_Authority/linkedin_authority_089.md,Authority Narrative,LinkedIn,High,Conversion,accountability-systems,AI-implementation,800,Draft,,
PP-0090,linkedin_authority_090.md,Content_Archive/LinkedIn_Authority/linkedin_authority_090.md,Authority Narrative,LinkedIn,High,Retention,AI-implementation,systems-thinking,800,Draft,,
PP-0091,linkedin_authority_091.md,Content_Archive/LinkedIn_Authority/linkedin_authority_091.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0092,linkedin_authority_092.md,Content_Archive/LinkedIn_Authority/linkedin_authority_092.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
PP-0093,linkedin_authority_093.md,Content_Archive/LinkedIn_Authority/linkedin_authority_093.md,Authority Narrative,LinkedIn,High,Consideration,AI-automation,contractor-management,800,Draft,,
PP-0094,linkedin_authority_094.md,Content_Archive/LinkedIn_Authority/linkedin_authority_094.md,Authority Narrative,LinkedIn,High,Conversion,contractor-management,compliance,800,Draft,,
PP-0095,linkedin_authority_095.md,Content_Archive/LinkedIn_Authority/linkedin_authority_095.md,Authority Narrative,LinkedIn,High,Retention,compliance,field-operations,800,Draft,,
PP-0096,linkedin_authority_096.md,Content_Archive/LinkedIn_Authority/linkedin_authority_096.md,Authority Narrative,LinkedIn,High,Awareness,field-operations,logistics,800,Draft,,
PP-0097,linkedin_authority_097.md,Content_Archive/LinkedIn_Authority/linkedin_authority_097.md,Authority Narrative,LinkedIn,High,Authority,logistics,leadership-framework,800,Draft,,
PP-0098,linkedin_authority_098.md,Content_Archive/LinkedIn_Authority/linkedin_authority_098.md,Authority Narrative,LinkedIn,High,Consideration,leadership-framework,execution-philosophy,800,Draft,,
PP-0099,linkedin_authority_099.md,Content_Archive/LinkedIn_Authority/linkedin_authority_099.md,Authority Narrative,LinkedIn,High,Conversion,execution-philosophy,business-process-audit,800,Draft,,
PP-0100,linkedin_authority_100.md,Content_Archive/LinkedIn_Authority/linkedin_authority_100.md,Authority Narrative,LinkedIn,High,Retention,business-process-audit,local-market-solano,800,Draft,,
PP-0101,linkedin_authority_101.md,Content_Archive/LinkedIn_Authority/linkedin_authority_101.md,Authority Narrative,LinkedIn,High,Awareness,local-market-solano,consulting-conversion,800,Draft,,
PP-0102,linkedin_authority_102.md,Content_Archive/LinkedIn_Authority/linkedin_authority_102.md,Authority Narrative,LinkedIn,High,Authority,consulting-conversion,authority-positioning,800,Draft,,
PP-0103,linkedin_authority_103.md,Content_Archive/LinkedIn_Authority/linkedin_authority_103.md,Authority Narrative,LinkedIn,High,Consideration,authority-positioning,NEPQ-persuasion,800,Draft,,
PP-0104,linkedin_authority_104.md,Content_Archive/LinkedIn_Authority/linkedin_authority_104.md,Authority Narrative,LinkedIn,High,Conversion,NEPQ-persuasion,sovereign-systems,800,Draft,,
PP-0105,linkedin_authority_105.md,Content_Archive/LinkedIn_Authority/linkedin_authority_105.md,Authority Narrative,LinkedIn,High,Retention,sovereign-systems,financial-operations,800,Draft,,
PP-0106,linkedin_authority_106.md,Content_Archive/LinkedIn_Authority/linkedin_authority_106.md,Authority Narrative,LinkedIn,High,Awareness,financial-operations,client-management,800,Draft,,
PP-0107,linkedin_authority_107.md,Content_Archive/LinkedIn_Authority/linkedin_authority_107.md,Authority Narrative,LinkedIn,High,Authority,client-management,SOP-architecture,800,Draft,,
PP-0108,linkedin_authority_108.md,Content_Archive/LinkedIn_Authority/linkedin_authority_108.md,Authority Narrative,LinkedIn,High,Consideration,SOP-architecture,CRM-workflows,800,Draft,,
PP-0109,linkedin_authority_109.md,Content_Archive/LinkedIn_Authority/linkedin_authority_109.md,Authority Narrative,LinkedIn,High,Conversion,CRM-workflows,lead-generation,800,Draft,,
PP-0110,linkedin_authority_110.md,Content_Archive/LinkedIn_Authority/linkedin_authority_110.md,Authority Narrative,LinkedIn,High,Retention,lead-generation,revenue-optimization,800,Draft,,
PP-0111,linkedin_authority_111.md,Content_Archive/LinkedIn_Authority/linkedin_authority_111.md,Authority Narrative,LinkedIn,High,Awareness,revenue-optimization,facility-management,800,Draft,,
PP-0112,linkedin_authority_112.md,Content_Archive/LinkedIn_Authority/linkedin_authority_112.md,Authority Narrative,LinkedIn,High,Authority,facility-management,property-management,800,Draft,,
PP-0113,linkedin_authority_113.md,Content_Archive/LinkedIn_Authority/linkedin_authority_113.md,Authority Narrative,LinkedIn,High,Consideration,property-management,industrial-services,800,Draft,,
PP-0114,linkedin_authority_114.md,Content_Archive/LinkedIn_Authority/linkedin_authority_114.md,Authority Narrative,LinkedIn,High,Conversion,industrial-services,workforce-deployment,800,Draft,,
PP-0115,linkedin_authority_115.md,Content_Archive/LinkedIn_Authority/linkedin_authority_115.md,Authority Narrative,LinkedIn,High,Retention,workforce-deployment,inspection-systems,800,Draft,,
PP-0116,linkedin_authority_116.md,Content_Archive/LinkedIn_Authority/linkedin_authority_116.md,Authority Narrative,LinkedIn,High,Awareness,inspection-systems,documentation-protocols,800,Draft,,
PP-0117,linkedin_authority_117.md,Content_Archive/LinkedIn_Authority/linkedin_authority_117.md,Authority Narrative,LinkedIn,High,Authority,documentation-protocols,KPI-frameworks,800,Draft,,
PP-0118,linkedin_authority_118.md,Content_Archive/LinkedIn_Authority/linkedin_authority_118.md,Authority Narrative,LinkedIn,High,Consideration,KPI-frameworks,accountability-systems,800,Draft,,
PP-0119,linkedin_authority_119.md,Content_Archive/LinkedIn_Authority/linkedin_authority_119.md,Authority Narrative,LinkedIn,High,Conversion,accountability-systems,AI-implementation,800,Draft,,
PP-0120,linkedin_authority_120.md,Content_Archive/LinkedIn_Authority/linkedin_authority_120.md,Authority Narrative,LinkedIn,High,Retention,AI-implementation,systems-thinking,800,Draft,,
PP-0121,linkedin_authority_121.md,Content_Archive/LinkedIn_Authority/linkedin_authority_121.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0122,linkedin_authority_122.md,Content_Archive/LinkedIn_Authority/linkedin_authority_122.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
PP-0123,linkedin_authority_123.md,Content_Archive/LinkedIn_Authority/linkedin_authority_123.md,Authority Narrative,LinkedIn,High,Consideration,AI-automation,contractor-management,800,Draft,,
PP-0124,linkedin_authority_124.md,Content_Archive/LinkedIn_Authority/linkedin_authority_124.md,Authority Narrative,LinkedIn,High,Conversion,contractor-management,compliance,800,Draft,,
PP-0125,linkedin_authority_125.md,Content_Archive/LinkedIn_Authority/linkedin_authority_125.md,Authority Narrative,LinkedIn,High,Retention,compliance,field-operations,800,Draft,,
PP-0126,linkedin_authority_126.md,Content_Archive/LinkedIn_Authority/linkedin_authority_126.md,Authority Narrative,LinkedIn,High,Awareness,field-operations,logistics,800,Draft,,
PP-0127,linkedin_authority_127.md,Content_Archive/LinkedIn_Authority/linkedin_authority_127.md,Authority Narrative,LinkedIn,High,Authority,logistics,leadership-framework,800,Draft,,
PP-0128,linkedin_authority_128.md,Content_Archive/LinkedIn_Authority/linkedin_authority_128.md,Authority Narrative,LinkedIn,High,Consideration,leadership-framework,execution-philosophy,800,Draft,,
PP-0129,linkedin_authority_129.md,Content_Archive/LinkedIn_Authority/linkedin_authority_129.md,Authority Narrative,LinkedIn,High,Conversion,execution-philosophy,business-process-audit,800,Draft,,
PP-0130,linkedin_authority_130.md,Content_Archive/LinkedIn_Authority/linkedin_authority_130.md,Authority Narrative,LinkedIn,High,Retention,business-process-audit,local-market-solano,800,Draft,,
PP-0131,linkedin_authority_131.md,Content_Archive/LinkedIn_Authority/linkedin_authority_131.md,Authority Narrative,LinkedIn,High,Awareness,local-market-solano,consulting-conversion,800,Draft,,
PP-0132,linkedin_authority_132.md,Content_Archive/LinkedIn_Authority/linkedin_authority_132.md,Authority Narrative,LinkedIn,High,Authority,consulting-conversion,authority-positioning,800,Draft,,
PP-0133,linkedin_authority_133.md,Content_Archive/LinkedIn_Authority/linkedin_authority_133.md,Authority Narrative,LinkedIn,High,Consideration,authority-positioning,NEPQ-persuasion,800,Draft,,
PP-0134,linkedin_authority_134.md,Content_Archive/LinkedIn_Authority/linkedin_authority_134.md,Authority Narrative,LinkedIn,High,Conversion,NEPQ-persuasion,sovereign-systems,800,Draft,,
PP-0135,linkedin_authority_135.md,Content_Archive/LinkedIn_Authority/linkedin_authority_135.md,Authority Narrative,LinkedIn,High,Retention,sovereign-systems,financial-operations,800,Draft,,
PP-0136,linkedin_authority_136.md,Content_Archive/LinkedIn_Authority/linkedin_authority_136.md,Authority Narrative,LinkedIn,High,Awareness,financial-operations,client-management,800,Draft,,
PP-0137,linkedin_authority_137.md,Content_Archive/LinkedIn_Authority/linkedin_authority_137.md,Authority Narrative,LinkedIn,High,Authority,client-management,SOP-architecture,800,Draft,,
PP-0138,linkedin_authority_138.md,Content_Archive/LinkedIn_Authority/linkedin_authority_138.md,Authority Narrative,LinkedIn,High,Consideration,SOP-architecture,CRM-workflows,800,Draft,,
PP-0139,linkedin_authority_139.md,Content_Archive/LinkedIn_Authority/linkedin_authority_139.md,Authority Narrative,LinkedIn,High,Conversion,CRM-workflows,lead-generation,800,Draft,,
PP-0140,linkedin_authority_140.md,Content_Archive/LinkedIn_Authority/linkedin_authority_140.md,Authority Narrative,LinkedIn,High,Retention,lead-generation,revenue-optimization,800,Draft,,
PP-0141,linkedin_authority_141.md,Content_Archive/LinkedIn_Authority/linkedin_authority_141.md,Authority Narrative,LinkedIn,High,Awareness,revenue-optimization,facility-management,800,Draft,,
PP-0142,linkedin_authority_142.md,Content_Archive/LinkedIn_Authority/linkedin_authority_142.md,Authority Narrative,LinkedIn,High,Authority,facility-management,property-management,800,Draft,,
PP-0143,linkedin_authority_143.md,Content_Archive/LinkedIn_Authority/linkedin_authority_143.md,Authority Narrative,LinkedIn,High,Consideration,property-management,industrial-services,800,Draft,,
PP-0144,linkedin_authority_144.md,Content_Archive/LinkedIn_Authority/linkedin_authority_144.md,Authority Narrative,LinkedIn,High,Conversion,industrial-services,workforce-deployment,800,Draft,,
PP-0145,linkedin_authority_145.md,Content_Archive/LinkedIn_Authority/linkedin_authority_145.md,Authority Narrative,LinkedIn,High,Retention,workforce-deployment,inspection-systems,800,Draft,,
PP-0146,linkedin_authority_146.md,Content_Archive/LinkedIn_Authority/linkedin_authority_146.md,Authority Narrative,LinkedIn,High,Awareness,inspection-systems,documentation-protocols,800,Draft,,
PP-0147,linkedin_authority_147.md,Content_Archive/LinkedIn_Authority/linkedin_authority_147.md,Authority Narrative,LinkedIn,High,Authority,documentation-protocols,KPI-frameworks,800,Draft,,
PP-0148,linkedin_authority_148.md,Content_Archive/LinkedIn_Authority/linkedin_authority_148.md,Authority Narrative,LinkedIn,High,Consideration,KPI-frameworks,accountability-systems,800,Draft,,
PP-0149,linkedin_authority_149.md,Content_Archive/LinkedIn_Authority/linkedin_authority_149.md,Authority Narrative,LinkedIn,High,Conversion,accountability-systems,AI-implementation,800,Draft,,
PP-0150,linkedin_authority_150.md,Content_Archive/LinkedIn_Authority/linkedin_authority_150.md,Authority Narrative,LinkedIn,High,Retention,AI-implementation,systems-thinking,800,Draft,,
PP-0151,linkedin_authority_151.md,Content_Archive/LinkedIn_Authority/linkedin_authority_151.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0152,linkedin_authority_152.md,Content_Archive/LinkedIn_Authority/linkedin_authority_152.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
